id;ilce;il_id
1;19 MAYIS;55
2;ABANA;37
3;ACIGÖL;50
4;ACIPAYAM;20
5;ADAKLI;12
6;ADALAR;34
7;ADAPAZARI;54
8;ADİLCEVAZ;13
9;AFŞİN;46
10;AĞAÇÖREN;68
11;AĞIN;23
12;AĞLASUN;15
13;AĞLI;37
14;AHIRLI;42
15;AHLAT;13
16;AHMETLİ;45
17;AKÇAABAT;61
18;AKÇADAĞ;44
19;AKÇAKALE;63
20;AKÇAKENT;40
21;AKÇAKOCA;81
22;AKDAĞMADENİ;66
23;AKDENİZ;33
24;AKHİSAR;45
25;AKINCILAR;58
26;AKKIŞLA;38
27;AKKUŞ;52
28;AKÖREN;42
29;AKPINAR;40
30;AKSEKİ;7
31;AKSU;7
32;AKSU;32
33;AKŞEHİR;42
34;AKYAKA;36
35;AKYAZI;54
36;AKYURT;6
37;ALACA;19
38;ALACAKAYA;23
39;ALAÇAM;55
40;ALADAĞ;1
41;ALANYA;7
42;ALAPLI;67
43;ALAŞEHİR;45
44;ALİAĞA;35
45;ALMUS;60
46;ALPU;26
47;ALTIEYLÜL;10
48;ALTINDAĞ;6
49;ALTINEKİN;42
50;ALTINORDU;52
51;ALTINOVA;77
52;ALTINÖZÜ;31
53;ALTINTAŞ;43
54;ALTINYAYLA;15
55;ALTINYAYLA;58
56;ALTUNHİSAR;51
57;ALUCRA;28
58;AMASRA;74
59;ANAMUR;33
60;ANDIRIN;46
61;ANTAKYA;31
62;ARABAN;27
63;ARAÇ;37
64;ARAKLI;61
65;ARALIK;76
66;ARAPGİR;44
67;ARDANUÇ;8
68;ARDEŞEN;53
69;ARGUVAN;44
70;ARHAVİ;8
71;ARICAK;23
72;ARİFİYE;54
73;ARMUTLU;77
74;ARNAVUTKÖY;34
75;ARPAÇAY;36
76;ARSİN;61
77;ARSUZ;31
78;ARTOVA;60
79;ARTUKLU;47
80;ASARCIK;55
81;ASLANAPA;43
82;AŞKALE;25
83;ATABEY;32
84;ATAKUM;55
85;ATAŞEHİR;34
86;ATKARACALAR;18
87;AVANOS;50
88;AVCILAR;34
89;AYANCIK;57
90;AYAŞ;6
91;AYBASTI;52
92;AYDINCIK;33
93;AYDINCIK;66
94;AYDINTEPE;69
95;AYRANCI;70
96;AYVACIK;17
97;AYVACIK;55
98;AYVALIK;10
99;AZDAVAY;37
100;AZİZİYE;25
101;BABADAĞ;20
102;BABAESKİ;39
103;BAFRA;55
104;BAĞCILAR;34
105;BAĞLAR;21
106;BAHÇE;80
107;BAHÇELİEVLER;34
108;BAHÇESARAY;65
109;BAHŞİLİ;71
110;BAKIRKÖY;34
111;BAKLAN;20
112;BALA;6
113;BALÇOVA;35
114;BALIŞEYH;71
115;BALYA;10
116;BANAZ;64
117;BANDIRMA;10
118;BASKİL;23
119;BAŞAKŞEHİR;34
120;BAŞÇİFTLİK;60
121;BAŞİSKELE;41
122;BAŞKALE;65
123;BAŞMAKÇI;3
124;BAŞYAYLA;70
125;BATTALGAZİ;44
126;BAYAT;3
127;BAYAT;19
128;BAYINDIR;35
129;BAYKAN;56
130;BAYRAKLI;35
131;BAYRAMİÇ;17
132;BAYRAMÖREN;18
133;BAYRAMPAŞA;34
134;BEKİLLİ;20
135;BELEN;31
136;BERGAMA;35
137;BESNİ;2
138;BEŞİKDÜZÜ;61
139;BEŞİKTAŞ;34
140;BEŞİRİ;72
141;BEYAĞAÇ;20
142;BEYDAĞ;35
143;BEYKOZ;34
144;BEYLİKDÜZÜ;34
145;BEYLİKOVA;26
146;BEYOĞLU;34
147;BEYPAZARI;6
148;BEYŞEHİR;42
149;BEYTÜŞŞEBAP;73
150;BİGA;17
151;BİGADİÇ;10
152;BİRECİK;63
153;BİSMİL;21
154;BODRUM;48
155;BOĞAZKALE;19
156;BOĞAZLIYAN;66
157;BOLVADİN;3
158;BOR;51
159;BORÇKA;8
160;BORNOVA;35
161;BOYABAT;57
162;BOZCAADA;17
