mahalle;semt_bucak_belde_id
AKPINAR MAH.;88
BAŞPINAR MAH.;88
MANSURLU MAH.;88
SİNANPAŞA MAH.;88
AKÖREN MAH.;1325
BOZTAHTA MAH.;1325
BÜYÜKSOFULU MAH.;1325
CERİTLER MAH.;1325
DAİLER MAH.;1325
DARILIK MAH.;1325
DÖLEKLİ MAH.;1325
EBRİŞİM MAH.;1325
EĞNER MAH.;1325
GERDİBİ MAH.;1325
GİREĞİYENİKÖY MAH.;1325
GÖKÇEKÖY MAH.;1325
KABASAKAL MAH.;1325
KARAHAN MAH.;1325
KICAK MAH.;1325
KIŞLAK MAH.;1325
KIZILDAM MAH.;1325
KÖKEZ MAH.;1325
KÖPRÜCÜK MAH.;1325
KÜP MAH.;1325
MADENLİ MAH.;1325
MAZILIK MAH.;1325
POSYAĞBASAN MAH.;1325
TOPALLI MAH.;1325
UZUNKUYU MAH.;1325
YETİMLİ MAH.;1325
YÜKSEKÖREN MAH.;1325
ADAPINAR MAH.;399
ADATEPE MAH.;399
AĞAÇLI MAH.;399
AĞAÇPINAR MAH.;399
AKDAM MAH.;399
ALTIGÖZ MAH.;399
ALTIKARA MAH.;399
AYDINLAR MAH.;399
AZİZLİ MAH.;399
BAŞÖREN MAH.;399
BİRKENT MAH.;399
BURHANLI MAH.;399
BÜYÜKBURHANİYE MAH.;399
BÜYÜKMANGIT MAH.;399
CAMUZAĞILI MAH.;399
CEYHANBEKİRLİ MAH.;399
ÇAKALDERE MAH.;399
ÇATAKLI MAH.;399
ÇATALHÜYÜK MAH.;399
ÇEVRETEPE MAH.;399
ÇİÇEKLİ MAH.;399
ÇİFTLİKLER MAH.;399
ÇOKÇAPINAR MAH.;399
DAĞISTAN MAH.;399
DEĞİRMENDERE MAH.;399
DEĞİRMENLİ MAH.;399
DİKİLİTAŞ MAH.;399
DOKUZTEKNE MAH.;399
DORUK MAH.;399
DURHASANDEDE MAH.;399
DUTLUPINAR MAH.;399
EKİNYAZI MAH.;399
ELMAGÖLÜ MAH.;399
ERENLER MAH.;399
GÜMÜRDÜLÜ MAH.;399
GÜNDOĞAN MAH.;399
GÜNLÜCE MAH.;399
GÜNYAZI MAH.;399
HAMDİLLİ MAH.;399
HAMİDİYE MAH.;399
HAMİTBEY MAH.;399
HAMİTBEYBUCAĞI MAH.;399
IRMAKLI MAH.;399
ISIRGANLI MAH.;399
İMRAN MAH.;399
İNCETARLA MAH.;399
İNCEYER MAH.;399
İSALI MAH.;399
KARAKAYALI MAH.;399
KILIÇKAYA MAH.;399
KIVRIKLI MAH.;399
KIZILDERE MAH.;399
KÖPRÜLÜ MAH.;399
KÖRKUYU MAH.;399
KURTKULAĞI MAH.;399
KURTPINAR MAH.;399
KUZUCAK MAH.;399
KÜÇÜKBURHANİYE MAH.;399
KÜÇÜKMANGIT MAH.;399
MERCİMEK MAH.;399
NARLIK MAH.;399
SAĞIRLAR MAH.;399
SAĞKAYA MAH.;399
SARIBAHÇE MAH.;399
SARIMAZI MAH.;399
SARIMAZI SB MAH.;399
SELİMİYE MAH.;399
SİRKELİ MAH.;399
SOĞUKPINAR MAH.;399
SOYSALLI MAH.;399
TATARLI MAH.;399
TATLIKUYU MAH.;399
TOKTAMIŞ MAH.;399
TUMLU MAH.;399
ÜÇDUTYEŞİLOVA MAH.;399
YALAK MAH.;399
YELLİBEL MAH.;399
YENİKÖYNAZIMBEY MAH.;399
YEŞİLBAHÇE MAH.;399
YEŞİLDAM MAH.;399
YILANKALE MAH.;399
ALTIOCAK MAH.;420
AYDEMİROĞLU MAH.;420
BELEDİYE EVLERİ MAH.;420
BOTA MAH.;420
CİVANTAYAK MAH.;420
KORUKLU MAH.;420
KÜÇÜKKIRIM MAH.;420
ŞEHİT HACI İBRAHİM MAH.;420
YARSUAT MAH.;420
MİTHAT PAŞA MAH.;668
