id;semt_bucak_belde;ilce_id
1;100.YIL;201
2;100.YIL;674
3;30AĞUSTOS;338
4;50.YIL;964
5;82EVLER;868
6;A.O.ÇİFTLİĞİ;945
7;ABANA;2
8;ABBASAĞA;139
9;ABDİOĞLU;967
10;ABDULLAHPAŞA;641
11;ABİDİNPAŞA;611
12;ACIBADEM;920
13;ACIGÖL;3
14;ACIPAYAM;4
15;ADAKLI;5
16;ADALET;678
17;ADAPAZARI;7
18;ADİLCEVAZ;8
19;ADLİYE;295
20;ADSIZ;33
21;AFETEVLERİ;654
22;AFŞİN;9
23;AĞABEYLİ;295
24;AĞAÇELİ;633
25;AĞAÇÖREN;10
26;AĞIN;11
27;AĞLASUN;12
28;AĞLI;13
29;AĞVA;861
30;AHATLI;543
31;AHIRLI;14
32;AHİEVRAN;815
33;AHLAT;15
34;AHLATLIBEL;201
35;AHMETBEY;604
36;AHMETLİ;16
37;AHMETLİ;861
38;AKATLAR;139
39;AKBELEN;890
40;AKÇAABAT;17
41;AKÇADAĞ;18
42;AKÇAKALE;19
43;AKÇAKENT;20
44;AKÇAKOCA;21
45;AKÇAŞEHİR;666
46;AKÇATEKİR;757
47;AKÇAY;302
48;AKÇAY;314
49;AKDAĞMADENİ;22
50;AKDERE;611
51;AKFIRAT;900
52;AKHİSAR;24
53;AKINCILAR;25
54;AKINCILAR;404
55;AKINCILAR;490
56;AKKAPI;806
57;AKKAYA;347
58;AKKIŞLA;26
59;AKKÖY;734
60;AKKUŞ;27
61;AKMESCİT;648
62;AKÖREN;28
63;AKPINAR;29
64;AKPINAR;627
65;AKSAKAL;117
66;AKSARAY;345
67;AKSARAY;641
68;AKSEKİ;30
69;AKSU;31
70;AKSU;32
71;AKSU;643
72;AKŞEMSETTİN;343
73;AKŞEMSETTİN;642
74;AKŞEMSETTİN;868
75;AKTEPE;535
76;AKTOPRAK;855
77;AKTUZLA;608
78;AKYAKA;34
79;AKYAZI;35
80;AKYENİKÖY;275
81;AKYURT;36
82;ALAADDİN;625
83;ALAATTİNBEY;703
84;ALACA;37
85;ALACAKAYA;38
86;ALAÇAM;39
87;ALAÇATI;230
88;ALADAĞ;40
89;ALANÖNÜ;708
90;ALANYA;41
91;ALAPLI;42
92;ALAŞEHİR;43
93;ALAYBEY;523
94;ALEMDAĞ;221
95;ALEMDAR;724
96;ALİAĞA;44
97;ALİBABA;658
98;ALİBEYADASI;98
99;ALİBEYKÖY;342
100;ALİBEYLİ;789
101;ALİHOCALI;967
